Follow-up Reason
 --Billing Follow-up Reasons--
Billing Feedback Reason 1
Billing Feedback Reason 2
Billing Feedback Reason 3
Billing Feedback Reason 4
Billing Feedback Reason 5
Billing Feedback Reason 6
Billing Feedback Reason 7
Billing Feedback Reason 8
Billing Feedback Reason 9
Billing Feedback Reason 10
Billing Feedback Reason 11
Feedback - Other
 --Finance Follow-up Reasons--
Finance Feedback Reason 1
Finance Feedback Reason 2
Finance Feedback Reason 3
Finance Feedback - Other
 --Sales Follow-up Reasons--
Sales Feedback Reason 1
Sales Feedback Reason 2
Sales Feedback Reason 3
Sales Feedback - Other 
 --T1 and Team Leads Follow-up Reasons--
T1 Feedback Reason 1
T1 Feedback Reason 2
T1 Feedback Reason 3
T1 Feedback Reason 4
T1 Feedback Reason 5
T1 Feedback - Other
